
Product                         Version         URL
-------                         --------        ----
Plone                           2.0.4+          http://plone.org/downloads
Archetypes                      1.3.2+          http://plone.org/products/archetypes
filter                          0.1             https://svn.objectrealms.net/svn/public/filter/trunk/
AdvancedQuery                   0.6             http://www.dieter.handshake.de/pyprojects/zope/#AdvancedQuery
ExtendedPathIndex               1.0             http://svn.plone.org/plone/ExtendedPathIndex/trunk/

(optional)
ATContentTypes                  0.2+            http://plone.org/products/atcontenttypes
kupu                            1.1+            http://kupu.oscom.org/download/
